Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NewTestSuite,Chrome 78.0.3904.97,,,2019-11-14 13:26:33,2019-11-14 13:27:12,38.783s,PASSED
,,,,,,,
Test Cases/QuickHandsOnTestCase1,Chrome 78.0.3904.97,,,2019-11-14 13:26:33,2019-11-14 13:27:12,38.388s,PASSED
"openBrowser("""")",Chrome 78.0.3904.97,,,2019-11-14 13:26:34,2019-11-14 13:26:37,3.161s,PASSED
"navigateToUrl(""www.google.com"")",Chrome 78.0.3904.97,,,2019-11-14 13:26:37,2019-11-14 13:26:38,1.734s,PASSED
delay(10),Chrome 78.0.3904.97,,,2019-11-14 13:26:38,2019-11-14 13:26:48,10.040s,PASSED
"click(findTestObject(""Google/Page_Google/GoogleLogo""))",Chrome 78.0.3904.97,,,2019-11-14 13:26:48,2019-11-14 13:26:49,0.639s,PASSED
delay(10),Chrome 78.0.3904.97,,,2019-11-14 13:26:49,2019-11-14 13:26:59,10.006s,PASSED
"click(findTestObject(""Google/Page_Google/Im FeelingLuckyButton""))",Chrome 78.0.3904.97,,,2019-11-14 13:26:59,2019-11-14 13:27:01,2.355s,PASSED
delay(10),Chrome 78.0.3904.97,,,2019-11-14 13:27:01,2019-11-14 13:27:11,10.009s,PASSED
closeBrowser(),Chrome 78.0.3904.97,,,2019-11-14 13:27:11,2019-11-14 13:27:12,0.139s,PASSED
