Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
showCaseTestSuite1,Chrome 77.0.3865.120,,,2019-10-22 13:55:18,2019-10-22 13:57:40,2m - 22.387s,INCOMPLETE
,,,,,,,
Test Cases/QuickHandsOnTestCase1,Chrome 77.0.3865.120,,,2019-10-22 13:55:18,2019-10-22 13:55:38,19.900s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-22 13:55:19,2019-10-22 13:55:25,5.811s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Chrome 77.0.3865.120,,,2019-10-22 13:55:25,2019-10-22 13:55:26,1.211s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Chrome 77.0.3865.120,,,2019-10-22 13:55:26,2019-10-22 13:55:27,0.980s,PASSED
"verifyTextPresent(""Contact"", false)",Chrome 77.0.3865.120,,,2019-10-22 13:55:27,2019-10-22 13:55:27,0.065s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:55:27,2019-10-22 13:55:29,1.230s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 77.0.3865.120,,,2019-10-22 13:55:29,2019-10-22 13:55:29,0.567s,PASSED
"verifyTextPresent(""Resources"", false)",Chrome 77.0.3865.120,,,2019-10-22 13:55:29,2019-10-22 13:55:29,0.043s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:55:29,2019-10-22 13:55:30,1.112s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Chrome 77.0.3865.120,,,2019-10-22 13:55:30,2019-10-22 13:55:31,0.284s,PASSED
"verifyTextPresent(""Training"", false)",Chrome 77.0.3865.120,,,2019-10-22 13:55:31,2019-10-22 13:55:31,0.114s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:55:31,2019-10-22 13:55:31,0.636s,PASSED
