Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NewTestSuite,Chrome 78.0.3904.70,,,2019-10-31 13:50:50,2019-10-31 13:52:45,1m - 54.798s,FAILED
,,,,,,,
Test Cases/QuickHandsOnTestCase4,Chrome 78.0.3904.70,,,2019-10-31 13:50:51,2019-10-31 13:51:23,32.023s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 13:50:51,2019-10-31 13:50:55,3.519s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Chrome 78.0.3904.70,,,2019-10-31 13:50:55,2019-10-31 13:50:56,0.971s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Chrome 78.0.3904.70,,,2019-10-31 13:50:56,2019-10-31 13:50:57,1.026s,PASSED
"verifyTextPresent(""Contact"", false)",Chrome 78.0.3904.70,,,2019-10-31 13:50:57,2019-10-31 13:50:57,0.676s,PASSED
takeScreenshot(),Chrome 78.0.3904.70,,,2019-10-31 13:50:57,2019-10-31 13:51:10,12.373s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:10,2019-10-31 13:51:10,0.502s,PASSED
"verifyTextPresent(""Resources"", false)",Chrome 78.0.3904.70,,,2019-10-31 13:51:10,2019-10-31 13:51:11,0.475s,PASSED
takeScreenshot(),Chrome 78.0.3904.70,,,2019-10-31 13:51:11,2019-10-31 13:51:11,0.422s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:11,2019-10-31 13:51:15,3.705s,PASSED
"verifyTextPresent(""Training"", false)",Chrome 78.0.3904.70,,,2019-10-31 13:51:15,2019-10-31 13:51:16,0.640s,PASSED
takeScreenshot(),Chrome 78.0.3904.70,,,2019-10-31 13:51:16,2019-10-31 13:51:16,0.444s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:16,2019-10-31 13:51:16,0.381s,PASSED
takeScreenshot(),Chrome 78.0.3904.70,,,2019-10-31 13:51:16,2019-10-31 13:51:17,0.476s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Reading""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:17,2019-10-31 13:51:17,0.384s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:17,2019-10-31 13:51:18,0.651s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Newsletter""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:18,2019-10-31 13:51:18,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:18,2019-10-31 13:51:19,0.349s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Create account""))",Chrome 78.0.3904.70,,,2019-10-31 13:51:19,2019-10-31 13:51:19,0.510s,PASSED
