Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
NewTestSuite,Chrome 78.0.3904.97,,,2019-11-14 12:39:19,2019-11-14 12:39:56,37.297s,PASSED
,,,,,,,
Test Cases/QuickHandsOnTestCase1,Chrome 78.0.3904.97,,,2019-11-14 12:39:19,2019-11-14 12:39:56,36.997s,PASSED
"openBrowser("""")",Chrome 78.0.3904.97,,,2019-11-14 12:39:19,2019-11-14 12:39:22,2.569s,PASSED
"navigateToUrl(""www.google.com"")",Chrome 78.0.3904.97,,,2019-11-14 12:39:22,2019-11-14 12:39:24,1.574s,PASSED
delay(10),Chrome 78.0.3904.97,,,2019-11-14 12:39:24,2019-11-14 12:39:34,10.056s,PASSED
"click(findTestObject(""Google/Page_Google/GoogleLogo""))",Chrome 78.0.3904.97,,,2019-11-14 12:39:34,2019-11-14 12:39:34,0.545s,PASSED
delay(10),Chrome 78.0.3904.97,,,2019-11-14 12:39:34,2019-11-14 12:39:44,10.006s,PASSED
"click(findTestObject(""Google/Page_Google/Im FeelingLuckyButton""))",Chrome 78.0.3904.97,,,2019-11-14 12:39:44,2019-11-14 12:39:46,1.736s,PASSED
delay(10),Chrome 78.0.3904.97,,,2019-11-14 12:39:46,2019-11-14 12:39:56,10.006s,PASSED
closeBrowser(),Chrome 78.0.3904.97,,,2019-11-14 12:39:56,2019-11-14 12:39:56,0.119s,PASSED
