Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
showCaseTestSuite1,Chrome 77.0.3865.120,,,2019-10-22 13:44:19,2019-10-22 13:45:37,1m - 18.155s,INCOMPLETE
,,,,,,,
Test Cases/QuickHandsOnTestCase1,Chrome 77.0.3865.120,,,2019-10-22 13:44:20,2019-10-22 13:44:29,9.741s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-22 13:44:20,2019-10-22 13:44:23,2.965s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Chrome 77.0.3865.120,,,2019-10-22 13:44:23,2019-10-22 13:44:24,0.484s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:24,2019-10-22 13:44:24,0.555s,PASSED
"verifyTextPresent(""Contact"", false)",Chrome 77.0.3865.120,,,2019-10-22 13:44:24,2019-10-22 13:44:24,0.076s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:44:24,2019-10-22 13:44:25,0.669s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:25,2019-10-22 13:44:25,0.116s,PASSED
"verifyTextPresent(""Resources"", false)",Chrome 77.0.3865.120,,,2019-10-22 13:44:25,2019-10-22 13:44:25,0.056s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:44:25,2019-10-22 13:44:26,0.467s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:26,2019-10-22 13:44:26,0.170s,PASSED
"verifyTextPresent(""Training"", false)",Chrome 77.0.3865.120,,,2019-10-22 13:44:26,2019-10-22 13:44:26,0.080s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:44:26,2019-10-22 13:44:26,0.435s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:26,2019-10-22 13:44:26,0.104s,PASSED
takeScreenshot(),Chrome 77.0.3865.120,,,2019-10-22 13:44:26,2019-10-22 13:44:27,0.394s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Reading""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:27,2019-10-22 13:44:27,0.163s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:27,2019-10-22 13:44:27,0.157s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Newsletter""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:27,2019-10-22 13:44:27,0.180s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Chrome 77.0.3865.120,,,2019-10-22 13:44:27,2019-10-22 13:44:27,0.143s,PASSED
