Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E Page_Mad Irish Hacking Academy,Firefox 70.0,,,2019-12-19 11:52:33,2019-12-19 11:53:23,49.344s,PASSED
,,,,,,,
Test Cases/Test 1 - Landing Page Verification,Firefox 70.0,,,2019-12-19 11:52:34,2019-12-19 11:52:48,14.762s,PASSED
"callTestCase(findTestCase(""Initial Checks on every page""), [:], STOP_ON_FAILURE)",Firefox 70.0,,,2019-12-19 11:52:34,2019-12-19 11:52:43,9.572s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Live Training""), 0)",Firefox 70.0,,,2019-12-19 11:52:43,2019-12-19 11:52:44,0.263s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/p_Browse our catalog of upcoming courses an_5f7925""), 0)",Firefox 70.0,,,2019-12-19 11:52:44,2019-12-19 11:52:44,0.259s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Live_Training""), 0)",Firefox 70.0,,,2019-12-19 11:52:44,2019-12-19 11:52:44,0.264s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Reading Room""), 0)",Firefox 70.0,,,2019-12-19 11:52:44,2019-12-19 11:52:45,0.278s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/p_Look through our extensive collection of _48c044""), 0)",Firefox 70.0,,,2019-12-19 11:52:45,2019-12-19 11:52:45,0.259s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Reading_Room""), 0)",Firefox 70.0,,,2019-12-19 11:52:45,2019-12-19 11:52:45,0.268s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Newsletter""), 0)",Firefox 70.0,,,2019-12-19 11:52:45,2019-12-19 11:52:45,0.257s,PASSED
