Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
showCaseTestSuite1,Firefox 69.0,,,2019-10-22 13:10:20,2019-10-22 13:12:05,1m - 44.437s,INCOMPLETE
,,,,,,,
Test Cases/QuickHandsOnTestCase1,Firefox 69.0,,,2019-10-22 13:10:21,2019-10-22 13:10:32,11.541s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-10-22 13:10:21,2019-10-22 13:10:26,5.260s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Firefox 69.0,,,2019-10-22 13:10:26,2019-10-22 13:10:27,0.451s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Firefox 69.0,,,2019-10-22 13:10:27,2019-10-22 13:10:27,0.366s,PASSED
"verifyTextPresent(""Contact"", false)",Firefox 69.0,,,2019-10-22 13:10:27,2019-10-22 13:10:27,0.130s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:10:27,2019-10-22 13:10:28,0.233s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-22 13:10:28,2019-10-22 13:10:28,0.323s,PASSED
"verifyTextPresent(""Resources"", false)",Firefox 69.0,,,2019-10-22 13:10:28,2019-10-22 13:10:28,0.083s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:10:28,2019-10-22 13:10:28,0.201s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Firefox 69.0,,,2019-10-22 13:10:28,2019-10-22 13:10:28,0.274s,PASSED
"verifyTextPresent(""Training"", false)",Firefox 69.0,,,2019-10-22 13:10:28,2019-10-22 13:10:29,0.076s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:10:29,2019-10-22 13:10:29,0.165s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-22 13:10:29,2019-10-22 13:10:29,0.274s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:10:29,2019-10-22 13:10:29,0.168s,PASSED
