Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
showCaseTestSuite1,Firefox 69.0,,,2019-10-22 13:55:21,2019-10-22 13:58:29,3m - 7.940s,INCOMPLETE
,,,,,,,
Test Cases/QuickHandsOnTestCase1,Firefox 69.0,,,2019-10-22 13:55:22,2019-10-22 13:56:01,38.789s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-10-22 13:55:24,2019-10-22 13:55:44,20.158s,PASSED
"navigateToUrl(""http://192.168.56.101/"")",Firefox 69.0,,,2019-10-22 13:55:44,2019-10-22 13:55:45,1.039s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Contact""))",Firefox 69.0,,,2019-10-22 13:55:45,2019-10-22 13:55:46,0.833s,PASSED
"verifyTextPresent(""Contact"", false)",Firefox 69.0,,,2019-10-22 13:55:46,2019-10-22 13:55:46,0.186s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:55:46,2019-10-22 13:55:46,0.175s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-22 13:55:46,2019-10-22 13:55:47,0.696s,PASSED
"verifyTextPresent(""Resources"", false)",Firefox 69.0,,,2019-10-22 13:55:47,2019-10-22 13:55:47,0.100s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:55:47,2019-10-22 13:55:47,0.153s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Training""))",Firefox 69.0,,,2019-10-22 13:55:47,2019-10-22 13:55:47,0.306s,PASSED
"verifyTextPresent(""Training"", false)",Firefox 69.0,,,2019-10-22 13:55:47,2019-10-22 13:55:47,0.196s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:55:47,2019-10-22 13:55:47,0.043s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-22 13:55:47,2019-10-22 13:55:48,0.627s,PASSED
takeScreenshot(),Firefox 69.0,,,2019-10-22 13:55:48,2019-10-22 13:55:48,0.045s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Reading""))",Firefox 69.0,,,2019-10-22 13:55:48,2019-10-22 13:55:49,0.909s,PASSED
"click(findTestObject(""Object Repository/Page_Mad Irish Hacking Academy/a_Resources""))",Firefox 69.0,,,2019-10-22 13:55:49,2019-10-22 13:55:49,0.275s,PASSED
