Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
E2E Page_Mad Irish Hacking Academy,Chrome 79.0.3945.88,,,2019-12-19 11:49:57,2019-12-19 11:50:35,37.289s,PASSED
,,,,,,,
Test Cases/Test 1 - Landing Page Verification,Chrome 79.0.3945.88,,,2019-12-19 11:49:58,2019-12-19 11:50:09,11.189s,PASSED
"callTestCase(findTestCase(""Initial Checks on every page""), [:], STOP_ON_FAILURE)",Chrome 79.0.3945.88,,,2019-12-19 11:49:58,2019-12-19 11:50:06,7.958s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Live Training""), 0)",Chrome 79.0.3945.88,,,2019-12-19 11:50:06,2019-12-19 11:50:07,0.466s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/p_Browse our catalog of upcoming courses an_5f7925""), 0)",Chrome 79.0.3945.88,,,2019-12-19 11:50:07,2019-12-19 11:50:07,0.289s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Live_Training""), 0)",Chrome 79.0.3945.88,,,2019-12-19 11:50:07,2019-12-19 11:50:07,0.400s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/h2_Reading Room""), 0)",Chrome 79.0.3945.88,,,2019-12-19 11:50:07,2019-12-19 11:50:08,0.291s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/p_Look through our extensive collection of _48c044""), 0)",Chrome 79.0.3945.88,,,2019-12-19 11:50:08,2019-12-19 11:50:08,0.270s,PASSED
"verifyElementPresent(findTestObject(""Page_Mad Irish Hacking Academy Landing Page/a_View details_Reading_Room""), 0)",Chrome 79.0.3945.88,,,2019-12-19 11:50:08,2019-12-19 11:50:08,0.271s,PASSED
